timestamp,run_type,max_depth,n_estimators,learning_rate,subsample,min_samples_leaf,train_rmse,val_rmse,val_mae,train_val_gap
2026-08-29T14:32:39.427649+00:00,tune_candidate,2,100,0.05,0.85,10,37.723861893055485,46.97484136135314,33.48010766727406,9.250979468297658
2026-08-29T14:32:39.675091+00:00,tune_candidate,2,100,0.05,1.0,1,37.16313765866282,48.01008481303739,34.085620564862644,10.846947154374568
2026-08-29T14:32:39.922281+00:00,tune_candidate,2,100,0.05,1.0,5,37.37131973482336,47.94363001631128,33.957656987796696,10.572310281487923
2026-08-29T14:32:40.167537+00:00,tune_candidate,2,100,0.05,1.0,10,37.88591931905904,47.451441519444664,33.56790709860634,9.565522200385622
2026-08-29T14:32:40.554961+00:00,tune_candidate,2,200,0.03,0.7,1,36.25945560053663,47.92592694417303,34.05321304264923,11.666471343636395
2026-08-29T14:32:40.961931+00:00,tune_candidate,2,200,0.03,0.7,5,36.50093713430716,47.939840021170745,34.037966061976604,11.438902886863588
2026-08-29T14:32:41.400899+00:00,tune_candidate,2,200,0.03,0.7,10,37.14542214603471,47.24831650019712,33.58444616798523,10.102894354162409
2026-08-29T14:32:41.887491+00:00,tune_candidate,2,200,0.03,0.85,1,36.41122132864553,47.945057676240545,33.76953134542091,11.533836347595013
2026-08-29T14:32:42.413121+00:00,tune_candidate,2,200,0.03,0.85,5,36.65330747923438,47.994333971667345,33.99235556722075,11.341026492432967
2026-08-29T14:32:42.858432+00:00,tune_candidate,2,200,0.03,0.85,10,37.10904008537679,47.313153574312324,33.42023363796947,10.204113488935533
2026-08-29T14:32:43.361682+00:00,tune_candidate,2,200,0.03,1.0,1,36.28737185367769,47.71851078650026,33.7734878751422,11.43113893282257
2026-08-29T14:32:43.994164+00:00,tune_candidate,2,200,0.03,1.0,5,36.568956177639954,47.79409377275629,33.82635049328602,11.225137595116337
2026-08-29T14:32:44.864055+00:00,tune_candidate,2,200,0.03,1.0,10,37.114224230379996,47.28008153756376,33.46107714646149,10.165857307183764
2026-08-29T14:32:45.438532+00:00,tune_candidate,2,200,0.05,0.7,1,33.59119080280479,47.62752454706536,33.52997713847767,14.036333744260574
2026-08-29T14:32:46.061624+00:00,tune_candidate,2,200,0.05,0.7,5,34.30789294444353,47.746589646326626,33.44669913370405,13.438696701883096
2026-08-29T14:32:46.506139+00:00,tune_candidate,2,200,0.05,0.7,10,34.48005019410508,47.72070676956424,33.88090839596643,13.240656575459155
2026-08-29T14:32:46.984015+00:00,tune_candidate,2,200,0.05,0.85,1,33.49965397016159,47.960425452281,33.719404646792064,14.460771482119412
2026-08-29T14:32:47.488994+00:00,tune_candidate,2,200,0.05,0.85,5,33.892488318488795,48.14062322006633,33.8593272219013,14.248134901577536
2026-08-29T14:32:48.031869+00:00,tune_candidate,2,200,0.05,0.85,10,34.48401893329588,46.80862184057847,33.046001400124986,12.32460290728259
2026-08-29T14:32:48.614026+00:00,tune_candidate,2,200,0.05,1.0,1,33.909000267020254,48.2627473363392,33.91946599581145,14.353747069318949
2026-08-29T14:32:49.295881+00:00,tune_candidate,2,200,0.05,1.0,5,34.113287769847794,47.29071898950973,33.38279306081867,13.177431219661933
2026-08-29T14:32:49.802566+00:00,tune_candidate,2,200,0.05,1.0,10,34.901500431680034,46.97790350876718,33.17762759098711,12.076403077087143
2026-08-29T14:32:50.571475+00:00,tune_candidate,2,300,0.03,0.7,1,33.984485643433835,47.71278529220866,33.68082683264785,13.728299648774822
